,mean price
1996-04-01,118299.12306343175
1996-05-01,118419.0441391406
1996-06-01,118537.42326805028
1996-07-01,118653.06927798889
1996-08-01,118780.25431160479
1996-09-01,118927.52850043846
1996-10-01,119120.52031569717
1996-11-01,119345.35223618825
1996-12-01,119685.08477053493
1997-01-01,120121.26571178019
1997-02-01,120544.24144986847
1997-03-01,120896.62379421222
1997-04-01,121268.17451037708
1997-05-01,121655.89739842151
1997-06-01,122053.10581701258
1997-07-01,122456.33905736207
1997-08-01,122879.92692729266
1997-09-01,123327.40226525393
1997-10-01,123823.10559006211
1997-11-01,124353.73766898064
1997-12-01,125002.60138838144
1998-01-01,125736.66983268796
1998-02-01,126450.77811061591
1998-03-01,127086.25703222035
1998-04-01,127736.36297216336
1998-05-01,128385.01497771608
1998-06-01,129032.70256447724
1998-07-01,129676.35712720099
1998-08-01,130324.51961715496
1998-09-01,130982.61854314312
1998-10-01,131678.08869730402
1998-11-01,132399.34244173302
1998-12-01,133224.70227222913
1999-01-01,134133.59392123914
1999-02-01,135020.88112807774
1999-03-01,135841.58690728428
1999-04-01,136683.7948418207
1999-05-01,137532.1472930518
1999-06-01,138391.80974647476
1999-07-01,139265.15671805362
1999-08-01,140160.60495360562
1999-09-01,141084.83232264192
1999-10-01,142070.09571125885
1999-11-01,143104.0403302404
1999-12-01,144261.32826769928
2000-01-01,145522.06473295827
2000-02-01,146772.26565353986
2000-03-01,147943.6837875356
2000-04-01,149107.81763717395
2000-05-01,150247.76064879083
2000-06-01,151364.60875283115
2000-07-01,152457.01760794915
2000-08-01,153530.9344633594
2000-09-01,154597.18711185796
2000-10-01,155691.10104478704
2000-11-01,156804.23759772046
2000-12-01,157978.3517206108
2001-01-01,159201.77540732082
2001-02-01,160410.849711405
2001-03-01,161555.95090231608
2001-04-01,162664.34572952436
2001-05-01,163717.36684445094
2001-06-01,164729.61934682546
2001-07-01,165707.86147439177
2001-08-01,166666.39146635492
2001-09-01,167634.30992912984
2001-10-01,168653.357200263
2001-11-01,169714.37130123476
2001-12-01,170846.2921019946
2002-01-01,172058.12084459706
2002-02-01,173311.93833564696
2002-03-01,174550.0621027252
2002-04-01,175769.2847227296
2002-05-01,176957.55826696867
2002-06-01,178131.7600642946
2002-07-01,179301.90691897421
2002-08-01,180477.8914298239
2002-09-01,181696.49302257618
2002-10-01,182962.91371374298
2002-11-01,184453.15993278293
2002-12-01,186098.1734492584
2003-01-01,187610.68166873677
2003-02-01,188930.16000584495
2003-03-01,190295.6162782202
2003-04-01,191691.75860305398
2003-05-01,193112.99042887412
2003-06-01,194601.80463213267
2003-07-01,196006.7801521188
2003-08-01,197610.87287214777
2003-09-01,199257.66751177108
2003-10-01,200939.57261861645
2003-11-01,202586.61354581674
2003-12-01,204228.35929011228
2004-01-01,207492.62069962418
2004-02-01,209244.21798207573
2004-03-01,211168.0398959237
2004-04-01,213296.50910667822
2004-05-01,215615.41630529054
2004-06-01,218136.2460248627
2004-07-01,220658.1727646677
2004-08-01,223353.45312838277
2004-09-01,226056.89543191166
2004-10-01,228744.6416973371
2004-11-01,231299.465973876
2004-12-01,233785.46582954464
2005-01-01,236197.42612696814
2005-02-01,238563.1245955856
2005-03-01,240871.01709524493
2005-04-01,243402.18359431115
2005-05-01,245934.6645596897
2005-06-01,248474.87429966958
2005-07-01,250549.5642857143
2005-08-01,252925.44285714286
2005-09-01,255151.62857142856
2005-10-01,257204.98571428572
2005-11-01,258995.54285714286
2005-12-01,260551.17857142858
2006-01-01,261477.01337507114
2006-02-01,262687.4857712009
2006-03-01,263850.57626636315
2006-04-01,264959.11354581674
2006-05-01,265878.7137165623
2006-06-01,266561.9593056346
2006-07-01,266695.60462969536
2006-08-01,266818.04303060425
2006-09-01,266757.1398139601
2006-10-01,266590.87552368105
2006-11-01,266316.52346801106
2006-12-01,266090.974934318
2007-01-01,265816.8332978799
2007-02-01,265624.76068921504
2007-03-01,265366.33340424026
2007-04-01,265036.42487414024
2007-05-01,264491.7818903779
2007-06-01,263696.3412039991
2007-07-01,262677.1722182849
2007-08-01,261586.201275691
2007-09-01,260415.5776045358
2007-10-01,259139.14245216158
2007-11-01,257695.7760453579
2007-12-01,256114.8121899362
2008-01-01,254395.85576650608
2008-02-01,252515.79767639557
2008-03-01,250538.72910172853
2008-04-01,248491.58401813544
2008-05-01,246309.4573533579
2008-06-01,243985.66166052705
2008-07-01,241710.33628318584
2008-08-01,239648.2053097345
2008-09-01,237774.27256637168
2008-10-01,236009.73451327434
2008-11-01,234330.38584070795
2008-12-01,232780.8424778761
2009-01-01,231308.6728919072
2009-02-01,229820.5220713073
2009-03-01,228199.28551216752
2009-04-01,226440.43576683645
2009-05-01,224442.20430107528
2009-06-01,222453.6714770798
2009-07-01,220988.5950646963
2009-08-01,220049.07728204766
2009-09-01,219437.44608640316
2009-10-01,219064.3569256876
2009-11-01,218900.53029767377
2009-12-01,218844.04298946474
2010-01-01,218812.23133484164
2010-02-01,219116.75622171946
2010-03-01,216704.31334353695
2010-04-01,215818.025601781
2010-05-01,215273.66077640184
2010-06-01,215196.9250034785
2010-07-01,214382.82344779745
2010-08-01,213508.92819979187
2010-09-01,212475.13007284078
2010-10-01,211428.31078737427
2010-11-01,210326.5764828304
2010-12-01,209098.0159556018
2011-01-01,207595.95791805093
2011-02-01,206395.59800664452
2011-03-01,205402.46400885936
2011-04-01,204642.5941306755
2011-05-01,204012.6315060908
2011-06-01,203430.57170542635
2011-07-01,202726.9762299613
2011-08-01,202212.49309010504
2011-09-01,201718.7050856827
2011-10-01,201293.19375345495
2011-11-01,200940.9549474848
2011-12-01,200644.0436705362
2012-01-01,200219.75998344715
2012-02-01,200069.28753707153
2012-03-01,200272.34981722877
2012-04-01,200824.65687288778
2012-05-01,201558.15573487827
2012-06-01,202274.41202841574
2012-07-01,202879.53433905076
2012-08-01,203592.28490735
2012-09-01,204337.92105806986
2012-10-01,205118.24757181236
2012-11-01,206036.55025142935
2012-12-01,207004.65660949232
2013-01-01,207745.45017842436
2013-02-01,208791.545429591
2013-03-01,210145.42272852044
2013-04-01,211730.78506725226
2013-05-01,213399.38237716167
2013-06-01,215113.1279165523
2013-07-01,216674.79813877103
2013-08-01,218163.50075270288
2013-09-01,219413.00807444917
2013-10-01,220509.58669768716
2013-11-01,221509.88093608868
2013-12-01,222473.73751197482
2014-01-01,223183.20719983635
2014-02-01,224135.937819595
2014-03-01,225082.5731233381
2014-04-01,226124.7835276471
2014-05-01,227232.0106361219
2014-06-01,228310.6224858526
2014-07-01,229099.28003803574
2014-08-01,230141.74420973987
2014-09-01,231060.0353188888
2014-10-01,231927.51477280445
2014-11-01,232822.13543435442
2014-12-01,233712.30727433268
2015-01-01,234691.19065407864
2015-02-01,235760.2798342729
2015-03-01,236836.42600013583
2015-04-01,238009.76023908172
2015-05-01,239354.2077022346
2015-06-01,240744.12144264075
2015-07-01,242103.52509678734
2015-08-01,243424.44474631528
2015-09-01,244658.26937444814
2015-10-01,245764.56564558853
2015-11-01,246765.0410921687
2015-12-01,247765.17014195476
2016-01-01,248896.36622970863
2016-02-01,249987.3123684032
2016-03-01,251014.31094206343
2016-04-01,252164.2735855464
2016-05-01,253483.63784554778
2016-06-01,254820.08422196563
2016-07-01,256205.7800719962
2016-08-01,257597.9148271412
2016-09-01,258946.02322896148
2016-10-01,260254.31637573865
2016-11-01,261576.90008829723
2016-12-01,262923.79270529107
2017-01-01,264373.2595259118
2017-02-01,265755.09746654896
2017-03-01,267065.11580520275
2017-04-01,268533.50539971475
2017-05-01,270226.84235549823
2017-06-01,271824.7164300754
2017-07-01,273335.39360184746
2017-08-01,274865.774638321
2017-09-01,276464.61998234055
2017-10-01,278033.18617129663
2017-11-01,279520.8585206819
2017-12-01,281095.3202472322
2018-01-01,282657.0603817157
2018-02-01,284368.6884466481
2018-03-01,286511.3767574543
2018-04-01,288039.9443048292
